Id,Age,Income,Home,Emp_length,Intent,Amount,Rate,Status,Percent_income,Default,Cred_length
5410,23,45000,MORTGAGE,0.0,DEBTCONSOLIDATION,1450,,0,0.03,N,2
18095,29,180000,MORTGAGE,9.0,PERSONAL,15000,5.79,0,0.08,N,6
23323,27,68120,RENT,6.0,EDUCATION,8000,10.0,0,0.12,N,5
133,22,50004,RENT,3.0,VENTURE,25000,12.23,1,0.5,N,3
3819,22,32000,RENT,0.0,VENTURE,4000,5.42,0,0.13,N,4
17688,23,78000,RENT,7.0,MEDICAL,20000,,0,0.26,N,4
9175,26,16800,RENT,0.0,EDUCATION,5000,,1,0.3,N,4
32358,65,57996,RENT,4.0,EDUCATION,3000,,0,0.05,N,27
1895,24,30000,RENT,0.0,MEDICAL,2000,8.07,0,0.07,N,4
26717,34,50000,RENT,5.0,HOMEIMPROVEMENT,2000,11.48,0,0.04,N,5
28373,34,26400,MORTGAGE,0.0,DEBTCONSOLIDATION,3600,9.88,0,0.14,N,5
28144,27,100000,RENT,11.0,VENTURE,5000,12.42,0,0.05,N,8
949,24,45600,RENT,2.0,VENTURE,18250,13.35,1,0.4,N,4
19293,27,44500,RENT,5.0,PERSONAL,2500,11.99,0,0.06,N,10
19371,30,20000,RENT,1.0,PERSONAL,3000,11.49,1,0.15,N,8
7526,25,29120,RENT,0.0,HOMEIMPROVEMENT,6400,16.29,1,0.22,N,2
17077,26,50004,MORTGAGE,10.0,PERSONAL,5000,9.32,0,0.1,N,2
5327,21,29760,RENT,1.0,DEBTCONSOLIDATION,8500,10.62,0,0.29,N,2
5322,22,45000,MORTGAGE,6.0,VENTURE,5000,7.49,0,0.11,N,4
21624,28,39184,RENT,3.0,DEBTCONSOLIDATION,6000,6.17,0,0.15,N,7
27428,34,128000,MORTGAGE,14.0,HOMEIMPROVEMENT,12325,8.49,1,0.1,N,5
24945,28,85000,RENT,7.0,DEBTCONSOLIDATION,11200,9.91,0,0.13,N,10
12468,25,45000,RENT,0.0,MEDICAL,12000,7.66,0,0.27,N,4
4658,25,42000,MORTGAGE,9.0,EDUCATION,9100,,0,0.22,N,3
461,21,18000,OWN,0.0,VENTURE,6250,10.62,1,0.35,N,4
10183,21,65496,MORTGAGE,3.0,VENTURE,13250,10.37,0,0.2,N,4
17712,23,57355,MORTGAGE,5.0,MEDICAL,25000,13.49,1,0.37,N,3
27383,32,136000,MORTGAGE,11.0,MEDICAL,12000,10.0,0,0.09,N,8
5434,22,45000,OWN,6.0,EDUCATION,4750,6.39,0,0.11,N,2
20579,28,110000,RENT,2.0,HOMEIMPROVEMENT,10000,13.22,0,0.09,N,5
14065,22,100000,MORTGAGE,3.0,VENTURE,12000,11.11,0,0.12,N,3
13278,25,80000,RENT,2.0,PERSONAL,12375,10.91,0,0.15,N,4
21744,31,53088,RENT,0.0,PERSONAL,6000,6.54,0,0.11,N,9
28209,34,55000,MORTGAGE,6.0,PERSONAL,2500,13.49,0,0.05,N,5
12087,26,79500,MORTGAGE,1.0,EDUCATION,6000,11.36,0,0.08,N,2
19039,30,68803,RENT,3.0,MEDICAL,2000,6.17,0,0.03,N,10
12306,25,80000,MORTGAGE,9.0,VENTURE,12000,7.88,0,0.15,N,3
15065,24,120000,MORTGAGE,0.0,VENTURE,15200,12.21,0,0.13,N,2
1950,23,80000,RENT,1.0,VENTURE,2000,9.99,0,0.03,N,4
12654,22,84000,MORTGAGE,3.0,EDUCATION,10000,10.38,0,0.12,N,3
2294,22,21996,RENT,0.0,MEDICAL,2500,11.89,0,0.11,N,2
24296,29,71000,MORTGAGE,4.0,DEBTCONSOLIDATION,4000,7.14,0,0.06,N,9
5762,26,36000,RENT,,VENTURE,5400,8.9,0,0.15,N,2
2328,25,29000,RENT,2.0,VENTURE,2500,12.84,1,0.09,N,3
26404,27,100000,MORTGAGE,0.0,HOMEIMPROVEMENT,5000,8.07,0,0.05,N,10
2709,23,50000,RENT,1.0,DEBTCONSOLIDATION,12000,6.54,0,0.24,N,3
24299,27,71000,RENT,9.0,DEBTCONSOLIDATION,4200,,0,0.06,N,5
30713,36,62000,MORTGAGE,9.0,EDUCATION,4800,8.0,0,0.08,N,12
7320,26,52000,MORTGAGE,7.0,DEBTCONSOLIDATION,3600,10.51,0,0.07,N,3
7458,26,41000,RENT,4.0,EDUCATION,6750,5.99,0,0.16,N,3
23224,31,60000,MORTGAGE,15.0,DEBTCONSOLIDATION,10000,9.63,0,0.17,N,8
16580,23,61498,MORTGAGE,5.0,MEDICAL,5000,11.36,0,0.08,N,3
30120,37,27000,RENT,4.0,MEDICAL,5500,,0,0.2,N,12
31091,37,75600,MORTGAGE,3.0,DEBTCONSOLIDATION,28000,7.49,0,0.37,N,15
7651,25,80266,RENT,5.0,MEDICAL,6875,11.86,0,0.09,N,2
13933,21,55260,RENT,0.0,EDUCATION,14000,6.54,0,0.25,N,2
16795,24,52000,MORTGAGE,8.0,VENTURE,15000,10.0,0,0.29,N,4
20360,34,40000,MORTGAGE,11.0,VENTURE,6000,7.29,0,0.15,N,7
3792,22,30000,RENT,1.0,EDUCATION,4000,,0,0.13,N,3
8328,22,44400,RENT,4.0,DEBTCONSOLIDATION,7500,8.49,1,0.17,N,4
29818,37,39480,OWN,4.0,VENTURE,8000,8.49,0,0.2,N,13
4577,23,100000,RENT,0.0,PERSONAL,10000,11.46,0,0.1,N,2
18404,27,21403,MORTGAGE,2.0,HOMEIMPROVEMENT,2100,11.12,0,0.1,N,7
32141,39,50000,MORTGAGE,1.0,PERSONAL,8000,7.68,0,0.16,N,11
30321,37,51000,MORTGAGE,3.0,DEBTCONSOLIDATION,12800,12.84,0,0.25,N,12
29897,42,40800,MORTGAGE,5.0,DEBTCONSOLIDATION,10400,7.51,0,0.25,N,14
23471,34,33500,RENT,4.0,MEDICAL,8400,10.99,1,0.25,N,9
11359,26,74000,MORTGAGE,10.0,DEBTCONSOLIDATION,1200,12.69,0,0.02,N,2
12635,23,84000,MORTGAGE,7.0,EDUCATION,23000,11.99,0,0.27,N,2
18560,34,51312,RENT,0.0,HOMEIMPROVEMENT,18000,13.85,1,0.35,N,10
14289,26,103200,MORTGAGE,8.0,PERSONAL,9000,6.76,0,0.09,N,2
13709,25,95000,MORTGAGE,0.0,VENTURE,4000,8.0,0,0.04,N,4
6317,24,35004,RENT,2.0,VENTURE,6000,10.59,0,0.17,N,3
27598,27,150000,OWN,0.0,EDUCATION,10000,8.59,0,0.07,N,6
1554,23,28800,RENT,0.0,MEDICAL,1500,7.74,0,0.05,N,3
14255,24,70000,RENT,5.0,HOMEIMPROVEMENT,14400,12.23,0,0.21,N,4
28453,35,39996,MORTGAGE,0.0,MEDICAL,15000,14.42,1,0.38,N,6
2013,26,39900,RENT,1.0,DEBTCONSOLIDATION,14000,10.37,1,0.35,N,3
5533,23,45000,MORTGAGE,4.0,EDUCATION,9925,11.48,0,0.22,N,2
21169,32,80000,RENT,0.0,DEBTCONSOLIDATION,5000,,0,0.06,N,6
8202,26,26000,RENT,2.0,PERSONAL,7500,12.18,0,0.29,N,2
8778,26,54000,MORTGAGE,10.0,EDUCATION,8500,5.42,1,0.16,N,3
23408,28,103000,RENT,0.0,EDUCATION,8000,14.61,1,0.08,N,10
20534,28,66560,RENT,4.0,PERSONAL,4800,10.36,0,0.07,N,5
9453,26,62000,MORTGAGE,5.0,MEDICAL,10000,7.88,0,0.16,N,2
29097,27,67000,RENT,1.0,PERSONAL,2800,13.04,0,0.04,N,7
16751,25,28128,RENT,2.0,VENTURE,7500,15.33,1,0.27,N,3
11384,22,60000,RENT,,PERSONAL,10000,5.99,0,0.17,N,2
25941,31,93000,MORTGAGE,10.0,MEDICAL,3000,8.49,0,0.03,N,8
2118,25,40000,RENT,9.0,EDUCATION,2400,5.42,0,0.06,N,3
25472,30,85000,MORTGAGE,0.0,HOMEIMPROVEMENT,18000,13.06,0,0.21,N,5
30284,44,70000,RENT,15.0,DEBTCONSOLIDATION,6000,5.79,0,0.09,N,16
21453,28,48000,MORTGAGE,1.0,EDUCATION,10000,6.92,0,0.21,N,8
22462,30,85000,RENT,4.0,HOMEIMPROVEMENT,7000,8.9,0,0.08,N,5
28931,27,62900,RENT,7.0,MEDICAL,24250,15.31,1,0.33,N,6
256,23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,6000,,1,0.41,N,4
6377,26,49200,MORTGAGE,8.0,EDUCATION,4800,6.17,0,0.1,N,3
20224,29,39600,MORTGAGE,0.0,EDUCATION,5600,10.65,0,0.14,N,8
18839,30,27600,MORTGAGE,3.0,EDUCATION,2250,15.62,1,0.08,N,9
17274,23,53352,RENT,3.0,MEDICAL,17500,6.54,1,0.33,N,4
18145,31,15456,MORTGAGE,1.0,PERSONAL,4000,8.9,1,0.26,N,5
23065,29,60000,OWN,9.0,PERSONAL,9000,12.23,0,0.15,N,10
29882,38,40000,MORTGAGE,4.0,PERSONAL,4000,12.21,0,0.1,N,13
24764,33,75000,OWN,17.0,PERSONAL,6000,7.68,0,0.08,N,7
23941,31,68000,MORTGAGE,2.0,PERSONAL,12000,12.69,0,0.18,N,9
7878,22,55000,MORTGAGE,7.0,VENTURE,3000,5.99,0,0.05,N,4
26555,28,105000,MORTGAGE,0.0,VENTURE,19000,12.21,0,0.18,N,6
9616,23,63000,MORTGAGE,7.0,MEDICAL,9700,5.99,0,0.15,N,4
26375,28,100000,MORTGAGE,3.0,VENTURE,5300,11.14,0,0.05,N,5
3134,22,35900,MORTGAGE,6.0,PERSONAL,6000,15.27,0,0.17,N,3
25318,33,24000,RENT,2.0,MEDICAL,3000,6.62,0,0.13,N,9
18113,34,91000,RENT,11.0,MEDICAL,25000,11.36,0,0.27,N,5
7497,24,60000,RENT,0.0,VENTURE,6800,7.51,0,0.11,N,2
13538,21,93000,MORTGAGE,4.0,EDUCATION,9800,12.73,0,0.11,N,3
21488,29,22500,RENT,1.0,EDUCATION,6000,11.83,0,0.27,N,9
3093,23,51996,RENT,0.0,HOMEIMPROVEMENT,3400,17.58,1,0.07,N,4
15137,23,124000,MORTGAGE,4.0,MEDICAL,16000,6.03,0,0.13,N,4
14181,24,74909,MORTGAGE,8.0,MEDICAL,14000,9.99,1,0.16,N,2
29267,43,97500,RENT,6.0,VENTURE,24000,10.99,0,0.25,N,11
27800,34,225000,MORTGAGE,4.0,MEDICAL,3000,13.35,0,0.01,N,10
22128,30,52000,MORTGAGE,2.0,PERSONAL,18500,10.91,0,0.36,N,7
6344,23,49000,MORTGAGE,2.0,VENTURE,6000,7.88,0,0.12,N,4
29988,45,43000,MORTGAGE,6.0,VENTURE,3600,13.49,0,0.08,N,15
14426,26,30000,OWN,3.0,EDUCATION,7500,11.14,0,0.25,N,3
1866,24,122000,RENT,4.0,EDUCATION,15000,11.58,0,0.12,N,3
8023,23,31000,RENT,4.0,DEBTCONSOLIDATION,7200,14.54,1,0.23,N,3
32385,70,44000,MORTGAGE,3.0,PERSONAL,7000,11.66,0,0.16,N,24
18792,30,100000,RENT,1.0,MEDICAL,1000,11.71,0,0.01,N,7
19090,34,30000,MORTGAGE,5.0,VENTURE,14000,7.51,0,0.47,N,8
18815,29,55000,RENT,3.0,PERSONAL,1200,9.99,0,0.02,N,6
27356,27,135000,MORTGAGE,3.0,MEDICAL,25000,11.12,0,0.19,N,8
7489,24,54000,RENT,8.0,HOMEIMPROVEMENT,6800,10.59,0,0.13,N,3
22687,31,57000,MORTGAGE,10.0,EDUCATION,8000,9.88,0,0.14,N,9
14601,26,45600,RENT,5.0,VENTURE,2000,,0,0.04,N,3
24537,30,60000,RENT,,VENTURE,10000,6.03,0,0.17,N,7
19719,31,35352,MORTGAGE,15.0,MEDICAL,9000,6.03,0,0.25,N,9
15467,24,138000,OWN,8.0,PERSONAL,16500,6.54,0,0.12,N,3
11586,23,75000,MORTGAGE,5.0,VENTURE,6400,5.42,0,0.09,N,3
13430,23,91200,MORTGAGE,7.0,DEBTCONSOLIDATION,3000,8.88,0,0.03,N,2
15812,24,96000,RENT,2.0,MEDICAL,16000,11.99,0,0.17,N,3
24854,28,77000,MORTGAGE,5.0,PERSONAL,15000,12.21,0,0.19,N,5
13388,24,90474,MORTGAGE,8.0,EDUCATION,15000,10.38,0,0.17,N,3
28276,28,108000,MORTGAGE,6.0,PERSONAL,27400,10.99,0,0.25,N,8
17512,24,72000,OWN,,EDUCATION,16000,12.42,0,0.22,N,2
26201,27,98000,MORTGAGE,5.0,VENTURE,15000,11.36,0,0.15,N,7
24508,30,73524,MORTGAGE,2.0,EDUCATION,10000,14.74,0,0.14,N,8
30282,39,50000,MORTGAGE,1.0,EDUCATION,8000,7.68,0,0.16,N,14
23401,27,62000,MORTGAGE,1.0,HOMEIMPROVEMENT,3275,9.33,0,0.05,N,8
9329,24,55000,MORTGAGE,,HOMEIMPROVEMENT,7000,7.14,1,0.13,N,3
4554,26,41004,MORTGAGE,5.0,VENTURE,16000,10.95,0,0.39,N,3
28660,31,96000,OWN,3.0,VENTURE,10000,9.99,0,0.1,N,5
3487,26,16800,RENT,,PERSONAL,10625,,1,0.63,N,3
6193,25,48000,MORTGAGE,5.0,HOMEIMPROVEMENT,7800,8.94,0,0.16,N,2
15039,21,120000,MORTGAGE,5.0,VENTURE,15000,10.25,0,0.13,N,2
10473,23,68000,MORTGAGE,3.0,VENTURE,9750,10.37,0,0.14,N,3
26815,33,114400,MORTGAGE,3.0,PERSONAL,20000,13.48,0,0.17,N,5
18874,32,28000,MORTGAGE,7.0,MEDICAL,6000,15.21,1,0.21,N,9
9573,24,40944,RENT,0.0,MEDICAL,8200,11.36,0,0.2,N,2
22369,29,39996,RENT,3.0,MEDICAL,7000,12.84,0,0.18,N,5
6501,23,39000,RENT,1.0,EDUCATION,6000,15.99,1,0.15,N,3
11183,22,50000,RENT,0.0,PERSONAL,10000,7.88,0,0.2,N,3
31694,46,17496,RENT,6.0,HOMEIMPROVEMENT,1500,11.14,1,0.09,N,13
5233,25,63000,RENT,3.0,MEDICAL,8900,7.29,0,0.14,N,3
18504,32,12000,RENT,3.0,MEDICAL,900,10.28,1,0.07,N,5
12903,24,69000,RENT,2.0,DEBTCONSOLIDATION,12000,10.2,1,0.17,N,4
13007,23,87000,MORTGAGE,7.0,MEDICAL,17000,7.51,0,0.2,N,3
5063,23,48000,RENT,2.0,DEBTCONSOLIDATION,5000,6.17,0,0.1,N,4
10354,22,23000,RENT,6.0,MEDICAL,10000,9.88,1,0.43,N,2
26189,34,98000,MORTGAGE,10.0,VENTURE,16000,6.03,0,0.16,N,5
24561,27,68400,MORTGAGE,8.0,DEBTCONSOLIDATION,8000,14.26,1,0.12,N,7
21535,31,42000,MORTGAGE,0.0,EDUCATION,21000,12.36,1,0.5,N,7
11587,24,70000,RENT,1.0,EDUCATION,10000,11.71,0,0.14,N,2
29125,37,80000,RENT,0.0,HOMEIMPROVEMENT,35000,11.99,1,0.44,N,17
7933,23,50000,RENT,2.0,EDUCATION,7000,9.32,0,0.14,N,3
1902,22,32000,RENT,2.0,EDUCATION,2000,12.53,1,0.06,N,2
19341,33,32004,MORTGAGE,4.0,PERSONAL,6000,10.74,0,0.19,N,7
32157,36,60000,RENT,2.0,HOMEIMPROVEMENT,15000,,0,0.25,N,12
341,25,15600,OWN,0.0,VENTURE,3200,18.09,1,0.21,N,2
25850,30,90722,MORTGAGE,6.0,VENTURE,10000,6.91,0,0.11,N,8
23029,33,44000,RENT,5.0,VENTURE,8000,17.49,0,0.18,N,8
23526,29,63996,OWN,8.0,PERSONAL,12000,12.61,0,0.19,N,5
14929,23,120000,MORTGAGE,8.0,EDUCATION,4000,10.65,0,0.03,N,2
25549,27,86000,MORTGAGE,6.0,HOMEIMPROVEMENT,4500,10.37,0,0.05,N,6
9074,22,60000,RENT,6.0,MEDICAL,8000,7.88,0,0.13,N,2
10583,23,69000,MORTGAGE,7.0,MEDICAL,8325,13.49,0,0.12,N,4
1619,26,45000,RENT,3.0,VENTURE,1500,10.25,0,0.03,N,3
28601,29,62500,MORTGAGE,13.0,MEDICAL,5000,11.36,0,0.08,N,5
28046,31,64900,RENT,2.0,VENTURE,10000,7.66,0,0.15,N,9
4168,24,40000,MORTGAGE,5.0,DEBTCONSOLIDATION,3000,11.99,0,0.07,N,4
5198,25,87000,RENT,7.0,MEDICAL,9000,13.49,0,0.1,N,4
26094,35,96000,MORTGAGE,5.0,MEDICAL,14000,7.49,0,0.15,N,10
29390,49,86400,RENT,7.0,PERSONAL,16875,7.51,0,0.2,N,14
20402,28,49000,RENT,12.0,HOMEIMPROVEMENT,4500,14.27,1,0.09,N,10
20825,33,43200,MORTGAGE,2.0,DEBTCONSOLIDATION,5000,7.51,0,0.12,N,8
19947,34,35000,RENT,3.0,MEDICAL,10600,15.96,0,0.3,N,10
3429,24,47230,RENT,8.0,VENTURE,10950,6.91,0,0.23,N,2
10394,23,67200,MORTGAGE,7.0,EDUCATION,5525,6.99,0,0.08,N,4
3950,25,39600,MORTGAGE,5.0,HOMEIMPROVEMENT,4800,12.42,0,0.12,N,4
16972,23,20400,RENT,5.0,EDUCATION,5500,,0,0.27,N,2
17372,24,95000,OWN,4.0,PERSONAL,10000,15.23,0,0.11,N,4
14476,26,35000,RENT,9.0,MEDICAL,2000,13.99,0,0.06,N,2
7200,25,52000,MORTGAGE,8.0,EDUCATION,3900,,0,0.07,N,4
639,25,55000,RENT,0.0,VENTURE,20000,9.88,1,0.36,N,4
29614,36,33600,OWN,,PERSONAL,3000,8.49,0,0.09,N,14
1838,25,96000,RENT,2.0,EDUCATION,15000,8.88,0,0.16,N,2
7963,24,49000,RENT,8.0,EDUCATION,7000,7.49,1,0.14,N,3
17564,23,40000,RENT,5.0,DEBTCONSOLIDATION,2000,11.71,0,0.05,N,4
30297,41,78000,RENT,3.0,HOMEIMPROVEMENT,6000,9.63,0,0.08,N,11
15102,23,14088,RENT,2.0,MEDICAL,1500,8.88,0,0.11,N,2
8231,26,56004,OWN,2.0,MEDICAL,10000,9.32,0,0.18,N,3
17669,26,40000,RENT,11.0,PERSONAL,5000,9.91,0,0.13,N,3
4436,25,40500,MORTGAGE,5.0,HOMEIMPROVEMENT,6500,9.63,0,0.16,N,4
14043,22,100000,MORTGAGE,6.0,EDUCATION,15000,7.49,0,0.15,N,2
30806,43,50000,RENT,5.0,HOMEIMPROVEMENT,9500,9.88,0,0.19,N,15
13036,24,87000,MORTGAGE,0.0,HOMEIMPROVEMENT,12000,8.59,0,0.14,N,3
15679,25,153000,MORTGAGE,9.0,EDUCATION,14500,13.85,0,0.09,N,3
25170,31,80004,MORTGAGE,9.0,MEDICAL,5500,10.75,0,0.07,N,8
20588,30,118000,RENT,5.0,HOMEIMPROVEMENT,10000,7.14,0,0.08,N,7
20230,34,39600,MORTGAGE,14.0,VENTURE,6000,5.99,0,0.15,N,5
29491,39,18996,RENT,5.0,EDUCATION,2000,7.88,0,0.11,N,12
32127,37,130000,RENT,2.0,VENTURE,13000,9.88,0,0.1,N,14
3398,23,54996,RENT,2.0,MEDICAL,11000,,0,0.2,N,2
32314,51,16800,OWN,3.0,PERSONAL,1000,11.11,0,0.06,N,22
15894,26,238000,MORTGAGE,2.0,EDUCATION,25000,9.25,1,0.11,N,4
21291,28,46551,MORTGAGE,12.0,VENTURE,5000,,0,0.11,N,7
22274,31,54000,MORTGAGE,,VENTURE,6000,7.66,0,0.11,N,6
9439,23,80000,RENT,5.0,EDUCATION,8000,7.9,0,0.1,N,3
19657,30,35000,MORTGAGE,,DEBTCONSOLIDATION,22750,10.62,0,0.65,N,10
2710,22,44000,RENT,3.0,DEBTCONSOLIDATION,12000,11.86,1,0.27,N,2
18250,30,90000,RENT,3.0,MEDICAL,24000,11.49,0,0.27,N,6
28190,33,72000,MORTGAGE,6.0,VENTURE,4250,5.42,0,0.06,N,5
25628,35,88000,MORTGAGE,18.0,MEDICAL,9800,12.69,0,0.11,N,10
5166,23,44000,OWN,7.0,VENTURE,5000,13.23,0,0.11,N,2
30820,38,40000,RENT,0.0,PERSONAL,9600,11.11,0,0.24,N,11
19213,29,30996,MORTGAGE,8.0,MEDICAL,8875,7.66,0,0.29,N,9
5930,24,47500,MORTGAGE,3.0,MEDICAL,13750,11.71,0,0.29,N,4
19021,31,40000,RENT,3.0,MEDICAL,2000,10.37,0,0.05,N,7
20712,35,36000,RENT,3.0,DEBTCONSOLIDATION,5000,7.51,0,0.14,N,5
26338,34,100000,MORTGAGE,8.0,HOMEIMPROVEMENT,15000,6.17,0,0.15,N,10
13921,23,98000,MORTGAGE,3.0,VENTURE,10000,8.94,0,0.1,N,3
16807,25,27096,RENT,7.0,EDUCATION,5000,7.9,1,0.18,N,3
27087,27,121000,MORTGAGE,3.0,HOMEIMPROVEMENT,16800,6.91,0,0.14,N,8
22291,28,54000,MORTGAGE,1.0,PERSONAL,11000,6.54,0,0.2,N,9
6539,22,40680,RENT,2.0,HOMEIMPROVEMENT,6000,11.36,1,0.15,N,4
31830,42,153936,OWN,26.0,PERSONAL,20000,,0,0.13,N,15
18951,29,27000,RENT,4.0,MEDICAL,2000,7.88,0,0.07,N,6
24892,29,78000,MORTGAGE,0.0,PERSONAL,9600,,0,0.12,N,5
25032,27,42000,RENT,1.0,MEDICAL,11975,12.53,0,0.29,N,6
17282,26,65000,MORTGAGE,0.0,PERSONAL,4000,5.42,0,0.06,N,2
23196,32,16800,RENT,0.0,PERSONAL,5000,7.29,1,0.3,N,9
12263,26,34138,RENT,3.0,DEBTCONSOLIDATION,12000,10.39,1,0.35,N,2
1003,25,58000,RENT,6.0,VENTURE,18000,,1,0.31,N,4
5918,24,19800,RENT,1.0,DEBTCONSOLIDATION,5600,5.79,1,0.28,N,3
26984,33,120000,MORTGAGE,6.0,MEDICAL,4500,5.99,0,0.04,N,5
5737,22,65000,RENT,3.0,EDUCATION,5300,6.62,0,0.08,N,3
30701,36,62000,MORTGAGE,0.0,VENTURE,6000,12.99,0,0.1,N,13
7510,25,53000,RENT,1.0,PERSONAL,6475,10.59,0,0.12,N,4
29173,40,210000,MORTGAGE,11.0,EDUCATION,20000,6.17,0,0.1,N,17
28714,34,35000,RENT,9.0,EDUCATION,8000,,0,0.23,N,10
15652,24,90000,RENT,3.0,HOMEIMPROVEMENT,15000,11.86,0,0.17,N,2
29096,35,106369,MORTGAGE,2.0,VENTURE,8325,6.99,0,0.08,N,10
12963,24,86000,MORTGAGE,8.0,EDUCATION,15000,5.79,0,0.17,N,3
24156,27,43000,RENT,11.0,MEDICAL,10000,12.42,0,0.23,N,9
24476,32,55000,RENT,5.0,MEDICAL,10000,8.49,0,0.18,N,10
4098,26,158000,RENT,0.0,HOMEIMPROVEMENT,4000,14.84,1,0.03,N,3
1346,23,28600,RENT,7.0,EDUCATION,1000,7.9,0,0.03,N,3
5139,22,60000,RENT,6.0,EDUCATION,9000,7.14,0,0.15,N,4
14402,23,30000,RENT,3.0,PERSONAL,14600,6.03,1,0.49,N,4
12433,24,81000,MORTGAGE,8.0,HOMEIMPROVEMENT,20000,11.49,0,0.25,N,4
14221,23,102000,MORTGAGE,5.0,PERSONAL,35000,7.9,0,0.34,N,3
25534,31,80000,RENT,15.0,DEBTCONSOLIDATION,12000,5.79,0,0.15,N,5
11651,26,72500,RENT,1.0,VENTURE,10000,9.96,0,0.14,N,3
29616,47,33600,MORTGAGE,12.0,PERSONAL,10000,5.42,0,0.3,N,12
23573,29,32000,RENT,5.0,PERSONAL,9000,16.77,0,0.28,N,5
20636,28,32400,RENT,3.0,MEDICAL,4900,14.12,1,0.15,N,7
15115,22,24600,OWN,1.0,PERSONAL,4750,10.0,0,0.19,N,4
8147,25,26729,RENT,5.0,MEDICAL,7300,11.14,0,0.27,N,3
21195,27,45600,MORTGAGE,6.0,MEDICAL,3000,6.99,0,0.07,N,7
22963,32,37050,RENT,2.0,DEBTCONSOLIDATION,8000,8.0,0,0.22,N,6
3771,24,28704,RENT,3.0,DEBTCONSOLIDATION,4000,9.63,0,0.14,N,3
21259,31,46000,MORTGAGE,11.0,VENTURE,7000,7.88,0,0.15,N,6
7628,25,54000,MORTGAGE,1.0,EDUCATION,6000,6.17,0,0.11,N,4
21283,34,46500,MORTGAGE,18.0,EDUCATION,8500,,0,0.18,N,9
6570,26,50000,OWN,10.0,PERSONAL,7500,5.99,0,0.15,N,2
27778,28,201000,OWN,4.0,VENTURE,12000,,0,0.06,N,8
3732,26,38100,MORTGAGE,6.0,VENTURE,3900,7.9,0,0.1,N,3
13595,26,94500,OWN,10.0,VENTURE,2000,5.42,0,0.02,N,2
11260,22,54000,RENT,6.0,VENTURE,10000,6.62,0,0.19,N,4
9969,25,55000,RENT,5.0,HOMEIMPROVEMENT,9000,11.11,0,0.16,N,2
9934,24,65000,MORTGAGE,0.0,MEDICAL,8000,10.99,0,0.12,N,3
8567,22,59000,MORTGAGE,5.0,MEDICAL,6000,,0,0.1,N,2
16147,21,65000,MORTGAGE,5.0,DEBTCONSOLIDATION,2200,12.42,0,0.03,N,3
22888,28,59160,MORTGAGE,2.0,EDUCATION,23500,,0,0.4,N,10
21876,31,66000,RENT,4.0,DEBTCONSOLIDATION,6000,14.35,1,0.09,N,5
12209,23,80000,OWN,7.0,VENTURE,4000,5.99,0,0.05,N,4
29040,35,120000,RENT,4.0,VENTURE,12000,10.99,0,0.1,N,5
27382,30,136000,MORTGAGE,13.0,VENTURE,2800,10.65,0,0.02,N,10
5741,23,46000,OWN,6.0,EDUCATION,8000,11.48,0,0.17,N,4
